 Red 877 Blue 65
 Red 865 Blue 95
 Red 637 Blue 1077
Red Red 1528 Blue 163
Blue Red 2734 Blue 5620
Blue Red 1615 Blue 8741
Red Red 3997 Blue 560
Red Red 4419 Blue 410
Red Red 3994 Blue 389
Blue Red 582 Blue 7089
Blue Red 2291 Blue 4428
Red Red 4010 Blue 4743
Blue Red 0 Blue 3489
Blue Red 0 Blue 2301
Blue Red 0 Blue 0
Blue Red 0 Blue 122449
Blue Red 0 Blue 2636
Blue Red 0 Blue 1563
Blue Red 0 Blue 1552
Blue Red 0 Blue 2014
Blue Red 0 Blue 1552
Blue Red 0 Blue 2058
Blue Red 0 Blue 5082
Blue Red 724 Blue 4121
Blue Red 865 Blue 4121
Blue Red 5344 Blue 7310
Blue Red 306 Blue 8288
Blue Red 4849 Blue 6546
Blue Red 5135 Blue 6546
Blue Red 5003 Blue 6546
Blue Red 5432 Blue 5082
Blue Red 4959 Blue 9743
Blue Red 4981 Blue 9765
Blue Red 4981 Blue 9765
Blue Red 240 Blue 7222
Blue Red 471 Blue 7827
Blue Red 471 Blue 7828
Blue Red 5014 Blue 9798
Blue Red 240 Blue 7743
Blue Red 5388 Blue 10172
Blue Red 5091 Blue 9875
Blue Red 5311 Blue 10095
Blue Red 5421 Blue 10205
Blue Red 1791 Blue 8615
Blue Red 5245 Blue 10029
Blue Red 1791 Blue 8548
Blue Red 5377 Blue 10161
Blue Red 5179 Blue 9963
Blue Red 1824 Blue 8725
Blue Red 5454 Blue 10238
Blue Red 1835 Blue 8592
Blue Red 1835 Blue 8736
Blue Red 0 Blue 6782
Blue Red 2184 Blue 4265
Blue Red 2327 Blue 4055
Blue Red 2329 Blue 4055
Blue Red 1896 Blue 4055
Blue Red 1872 Blue 4055
Blue Red 1726 Blue 4055
Blue Red 1572 Blue 4055
Blue Red 1363 Blue 4055
Blue Red 1517 Blue 4055
Blue Red 1660 Blue 4055
Blue Red 1726 Blue 4055
Blue Red 1858 Blue 4055
Blue Red 714 Blue 4055
Blue Red 659 Blue 4055
Blue Red 659 Blue 4055
Blue Red 1112 Blue 4055
Blue Red 1112 Blue 4055
Blue Red 1088 Blue 4055
Blue Red 1088 Blue 4055
Blue Red 1088 Blue 4055
Blue Red 497 Blue 3977
Blue Red 497 Blue 3963
Blue Red 69 Blue 4208
Blue Red 44 Blue 4614
Blue Red 44 Blue 4628
Blue Red 60 Blue 4843
Blue Red 98 Blue 5042
Blue Red 76 Blue 4971
Red Red 3473 Blue 0
Blue Red 187 Blue 3395
Blue Red 197 Blue 3395
Blue Red 230 Blue 3395
Blue Red 33 Blue 3771
Blue Red 17 Blue 3771
Blue Red 17 Blue 3771
Red Red 2459 Blue 148
Red Red 6224 Blue 3448
Red Red 13286 Blue 307
Red Red 12517 Blue 38
